Model,Drive,Fuel,Veh Class,Comb CO2
TT Roadster quattro,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Two Seaters,336
M4 DTM Champions Edition,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,450
Chiron,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,840
CORVETTE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,487
CORVETTE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,541
CORVETTE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,503
CORVETTE,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,466
488 gtb,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,501
488 gtb,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,495
488 Spider,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,495
488 Spider,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,501
812 Superfast,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,661
F-TYPE Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,390
F-TYPE Convertible Manual,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,476
F-TYPE Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,390
F-TYPE Coupe Manual,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,476
F-TYPE R AWD Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters,500
F-TYPE R AWD Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters,500
F-TYPE S AWD Convertible,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters,426
F-TYPE S AWD Coupe,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Two Seaters,426
F-TYPE S Convertible,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,407
F-TYPE S Convertible Manual,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,485
F-TYPE S Coupe,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,407
F-TYPE S Coupe Manual,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Recommended),Two Seaters,485
Aventador Coupe,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,731
Aventador Roadster,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,751
Aventador S Coupe,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,731
Aventador S Roadster,All Wheel Drive,Gasoline (Premium Unleaded Required),Two Seaters,751
AMG GT (coupe),2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,486
AMG GT (roadster),2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,490
AMG GT S (coupe),2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,486
AMG SLC 43,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,379
SLC 300,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,324
370Z,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,411
370Z,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,426
370Z Roadster,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,433
370Z Roadster,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Two Seaters,447
California T,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Minicompact Cars,478
California T,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Minicompact Cars,487
GTC4Lusso,Part-time 4-Wheel Drive,Gasoline (Premium Unleaded Required),Minicompact Cars,661
GTC4Lusso T,2-Wheel Drive  Rear,Gasoline (Premium Unleaded Required),Minicompact Cars,524
COOPER CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,294
COOPER CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,280
COOPER S CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,315
COOPER S CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,338
JOHN COOPER WORKS CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,315
JOHN COOPER WORKS CONVERTIBLE,2-Wheel Drive  Front,Gasoline (Premium Unleaded Recommended),Minicompact Cars,349
A3,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Subcompact Cars,303
A3 Cabriolet,2-Wheel Drive  Front,Gasoline (Regular Unleaded Recommended),Subcompact Cars,315
A3 Cabriolet quattro,All Wheel Drive,Gasoline (Regular Unleaded Recommended),Subcompact Cars,359
